,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTHLY ACCOMPLISHMENT REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feasibility Study and Detailed Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"As of February 15, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEAR,Proposed Project Name,Municipality,Type of Study/ Activity,Total Funding Requirement (P'000),Approved Budget (P'000),Mode of Implementation & Name of Consultant,Peeriod of Engagement,,Contract Amount (P'000),Actual Obligation (P'000),Value of Accomplishment (P'000),Actual Expenditures (P'000),"Accomplishment as of January 15, 2026",,"Accomplishment as of February 15, 2026",,REMARKS,,,,,,,,,,,,
,,,,,,,Start of Activity,End of Activity,,,,,PHY (%),FIN(%),PHY (%),FIN(%),,,,,,,,,,,,,
PANGASINAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Mabini Agricultural Development Project,"Mabini, Pangasinan",FS," 10,000.00 "," 10,000.00 ",Consultancy Services/ EDCOP,"November 09, 2018","May 30, 2022"," 9,635.40 "," 10,000.00 "," 8,965.74 "," 5,618.39 ",100%,100%,100%,100%,"On 21 January 2026, a meeting was conducted with the EDCOP, CO-PPD, RO1, and PIMO to finalize the MABINI ADP Feasibility Study Report.",,,,,,,,,,,,
2023,Agno River Irrigation System,"San Manuel, Pangasinan",Modernization (FSDE with SEIA)," 7,175.60 "," 7,175.60 ",FAW,"April 01, 2023","April 01, 2024"," 7,175.60 "," 5,483.35 "," 5,483.35 "," 5,483.35 ",100%,100%,100%,100%,The concerned technical personnel are now working on and addressing the remaining comments.,s ,,,,,,,,,,,
2023,Bayambang PIP,"Bayambang, Pangasinan",DE (Irrigation Facilities)," 2,565.83 "," 2,565.80 ",FAW,"October 09, 2023","August 04, 2024"," 2,565.83 "," 2,481.37 ", 464.67 , 84.46 ,80.48%,100%,80.48%,100%,"The survey work for lateral B is still in progress, delayed due to ongoing right-of-way negotiations. Meanwhile, Laterals H and I have completed their surveys and are now in the design phase. Due to the high-elevation terrain in these areas, heNIA RO1 PDS recommends using an elevated flume structure to navigate terrain. The revised design was complied last august 01, 2025 and is under review.",,,,,,,,,,,,
TOTAL FOR PANGASINAN,,,," 19,741.43 "," 19,741.40 ",,,," 19,376.83 "," 17,964.72 "," 14,913.76 "," 11,186.20 ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepared by: ,,,Checked by:,,,,Reviewed by:,,,,Submitted by:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ENGR. JESSELLE U. LEAÑO,,,ENGR. RENZ WILSON L. ETRATA,,,,ENGR. WEYNARD JOSEPH P. UNTALAN,,,,,"ENGR. JOHN N. MOLANO, MSME",,,,,,,,,,,,,,,,
