YEAR,DISTRICT,PROJECT CODE,SYSTEM,DESCRIPTION REMARKS,MUNICIPALITY,STATUS,RESULT (FEASIBLE OR NOT FEASIBLE)
2026,1st District,EGPIP-Solar,Alilao SPIP,Proc./Inst. Of 1 unit Solar Powered Pump/Solar Power Driven Pump Irrigation,Dasol,For Schedule,
2026,1st District,EGPIP-Solar,Alilao PIP,Provision of Water Pumps,Dasol,Not Applicable,
2026,1st District,EGPIP-Solar,Viga SPIP,Proc./Inst. Of 1 unit Solar Powered Pump/Solar Power Driven Pump Irrigation,Dasol,For Interpretation,
2026,1st District,EGPIP-Solar,Allabon SPIP,Proc./Inst. Of 1 unit Solar Powered Pump/Solar Power Driven Pump Irrigation,Agno,For Schedule,
2026,2nd District,EGPIP-Solar,Mabalacat SPIP,Proc./Inst. Of 1 unit Solar Powered Pump/Solar Power Driven Pump Irrigation,Mangatarem,For Schedule,
2026,2nd District,EGPIP-Solar,Bayoyong SPIP,Proc./Inst. Of 1 unit Solar Powered Pump/Solar Power Driven Pump Irrigation,Basista,Relocation,
2026,3rd District,EGPIP-Solar,Mamarlao SPIP,Proc./Inst. Of 1 unit Solar Powered Pump/Solar Power Driven Pump Irrigation,San Carlos,Relocation,
2026,4th District,EGPIP-Solar,Alitaya SPIP,Proc./Inst. Of 1 unit Solar Powered Pump/Solar Power Driven Pump Irrigation,Mangaldan,C/O Contractor,
2026,6th District,EGPIP-Solar,Diaz SPIP,Proc./Inst. Of 1 unit Solar Powered Pump/Solar Power Driven Pump Irrigation,Umingan,Relocation,
2026,6th District,EGPIP-Solar,Bantog SPIP,Proc./Inst. Of 1 unit Solar Powered Pump/Solar Power Driven Pump Irrigation,San Quintin,Relocation,
2026,2nd District,EGPIP-Solar,Pogomboa SPIP,Proc./Inst. Of 1 unit Solar Powered Pump/Solar Power Driven Pump Irrigation,Aguilar,Open Source,
2026,2nd District,EGPIP-Solar,Poblacion SPIP,Proc./Inst. Of 2 units Solar Powered Pump/Solar Power Driven Pump Irrigation,Aguilar,For Schedule,
2026,1st District,EGPIP-Solar,Bued SPIP,Proc./Inst. Of 1 unit Solar Powered Pump/Solar Power Driven Pump Irrigation,Alaminos City,For Interpretation,
2026,1st District,EGPIP-Solar,San Jose SPIP,Proc./Inst. Of 2 units Solar Powered Pump/Solar Power Driven Pump Irrigation,Anda,For Interpretation,
2026,1st District,EGPIP-Solar,Centro Toma SPIP,Proc./Inst. Of 5 units Solar Powered Pump/Solar Power Driven Pump Irrigation,Bani,"2 sites relocation 
2 sites for interpretation",1 site Feasible 
2026,2nd District,EGPIP-Solar,Pangascasan SPIP,Proc./Inst. Of 1 unit Solar Powered Pump/Solar Power Driven Pump Irrigation,Bugallon,For Schedule,
2026,1st District,EGPIP-Solar,Anapao SPIP,Proc./Inst. Of 1 unit Solar Powered Pump/Solar Power Driven Pump Irrigation,Burgos,For Interpretation,
2026,3rd District,EGPIP-Solar,Quesban SPIP,Proc./Inst. Of 1 unit Solar Powered Pump/Solar Power Driven Pump Irrigation,Calasiao,For Interpretation,
2026,1st District,EGPIP-Solar,Bamban SPIP,Proc./Inst. Of 2 units Solar Powered Pump/Solar Power Driven Pump Irrigation,Infanta,For Submission of Raw data to Regional Office,
2026,1st District,EGPIP-Solar,Bayambang - Macalang Batang SPIP,Proc./Inst. Of 1 unit Solar Powered Pump/Solar Power Driven Pump Irrigation,Infanta,For Submission of Raw data to Regional Office,
2026,2nd District,EGPIP-Solar,Bongalon SPIP,Proc./Inst. Of 1 unit Solar Powered Pump/Solar Power Driven Pump Irrigation,Labrador,With Geo-res,
2026,2nd District,EGPIP-Solar,Naguelguel SPIP,Proc./Inst. Of 1 unit Solar Powered Pump/Solar Power Driven Pump Irrigation,Lingayen,For Schedule,
